#{"t_start": 1779171662.9293005, "env_id": "None"}
r,l,t
221.822355,106,38.535818
221.862195,105,39.253364
221.621963,104,39.321367
222.006141,106,39.385875
222.207627,106,39.451382
221.452822,105,39.516382
221.841857,105,39.582896
220.810186,106,39.650407
222.557423,108,39.71841
222.111915,107,39.785918
221.262142,106,39.851526
221.342648,104,40.569096
221.659245,106,40.636611
221.543854,105,40.702611
221.495301,105,40.768117
221.26802,106,40.835104
222.295543,105,40.902103
222.082732,105,40.966614
222.037368,105,41.032119
222.274893,105,41.098186
221.330242,104,41.81145
221.25923,106,41.877961
221.27705,106,41.945472
221.283794,105,42.012078
221.87011,106,42.079589
221.79137,104,42.14518
221.8711,105,42.212251
221.699341,105,42.278809
222.193981,106,42.345317
222.218056,105,42.412316
221.63413,104,43.127508
222.024309,105,43.193925
222.15112,107,43.261436
221.917751,104,43.327528
221.948211,105,43.392946
221.848629,105,43.45904
221.381895,104,43.526043
222.154752,106,43.592706
221.643954,104,43.658214
221.587681,104,43.722217
221.474407,104,44.447512
221.63949,104,44.512624
222.184469,104,44.577641
221.449848,104,44.642152
222.070373,105,44.712152
221.214339,103,44.777663
221.422175,104,44.845176
221.723073,105,44.912237
221.655083,105,44.978689
221.949465,105,45.045197
221.887201,106,45.761794
222.099856,104,45.827797
221.811611,103,45.893303
222.355264,105,45.957911
222.015499,105,46.023816
222.818242,107,46.090324
222.828207,106,46.157846
221.296851,104,46.223837
221.774328,104,46.290342
222.777631,107,47.007815
222.091019,105,47.075324
222.52938,106,47.142835
222.490464,105,47.209928
222.89887,107,47.278347
221.972857,105,47.345856
222.318638,105,47.412463
221.906433,105,47.479478
221.91186,103,47.545991
221.880704,103,47.611267
222.538082,107,48.329561
221.928954,105,48.397068
221.894628,105,48.462576
222.683262,106,48.528702
222.351522,104,48.596187
222.148306,105,48.663
222.123941,105,48.729623
222.261571,104,48.795131
221.520605,104,48.86164
221.909762,104,48.927642
221.863779,105,49.646263
221.744805,104,49.712264
222.246031,106,49.778772
221.750351,104,49.844818
222.358001,105,49.908816
222.520248,106,49.976325
221.885049,103,50.041834
221.936527,103,50.104835
222.879475,106,50.172344
222.075125,105,50.238851
222.078199,104,50.961539
223.025738,107,51.027541
222.513436,105,51.093108
222.482575,105,51.155613
221.695717,104,51.219615
222.267887,106,51.286123
221.842526,105,51.350634
222.294903,104,51.417631
222.452314,104,51.48314
221.884706,104,52.197788
222.365249,104,52.264347
222.735035,106,52.331349
222.394865,104,52.397843
222.302461,104,52.464278
222.242912,104,52.530405
222.48394,105,52.596426
221.766051,103,52.660935
222.001168,104,52.725938
223.046245,106,52.792959
222.324989,104,53.512035
222.644897,107,53.580501
221.991593,104,53.646008
222.02444,104,53.712009
222.502528,106,53.779158
221.773496,104,53.844666
222.324191,104,53.910665
221.95083,104,53.977175
222.234216,104,54.043686
221.426688,103,54.108686
221.782742,103,54.822284
221.855883,104,54.887791
223.088659,106,54.954302
222.15318,104,55.019302
222.284429,104,55.086678
222.551402,105,55.152353
222.12744,104,55.218395
222.566433,105,55.283909
222.347639,104,55.350418
221.983767,103,55.41542
222.276222,104,56.133742
222.239216,104,56.200248
221.72489,103,56.266756
222.033873,104,56.331758
222.845218,106,56.398266
222.270502,104,56.464776
222.220537,104,56.530977
222.550984,106,56.597907
222.28794,104,56.664418
222.43993,105,56.73242
222.019546,104,57.446626
222.426604,104,57.511628
222.163315,103,57.576136
222.616522,105,57.64265
221.516008,104,57.70865
222.620703,105,57.77516
222.231149,103,57.840672
222.17043,103,57.905673
222.147232,103,57.970195
221.700788,104,58.037701
222.001404,104,58.752302
222.30128,104,58.818304
222.602167,105,58.884833
222.392346,106,58.951342
222.123495,103,59.016342
221.732107,104,59.082851
221.614464,103,59.148448
222.300427,106,59.215363
221.03329,104,59.281871
222.107542,104,60.006437
222.398675,104,60.071944
222.049427,104,60.138453
221.837497,103,60.202455
221.91733,103,60.267058
221.385818,103,60.332973
221.363503,102,60.39648
221.87815,103,60.460991
221.568949,103,60.526502
221.945777,104,60.59201
221.694557,103,61.309664
221.758732,104,61.376174
222.441528,105,61.442685
221.996926,104,61.508686
221.978657,103,61.575867
221.6363,103,61.640712
221.854523,104,61.706857
222.033861,103,61.771369
221.661958,103,61.837374
222.080838,103,61.90188
222.031371,104,62.621514
222.49466,105,62.688039
221.973597,104,62.752537
221.976062,103,62.816537
221.919254,103,62.882049
221.169529,102,62.947564
222.112516,104,63.013563
221.646367,102,63.078077
222.493624,105,63.447128
221.807554,104,63.511786
222.348114,104,64.229925
222.026048,103,64.294435
221.750079,103,64.359947
222.346305,104,64.425952
221.913278,103,64.492004
222.035682,104,64.55714
221.043631,103,64.621647
221.927856,103,64.68716
221.813873,103,64.752673
221.572247,104,64.818672
221.988946,103,65.535738
222.044992,104,65.601738
221.955896,104,65.667927
222.200981,103,65.73293
221.905831,103,65.799009
222.633219,104,65.866071
222.38668,105,65.932929
222.549527,105,65.999786
223.376466,107,66.066805
222.358929,104,66.132806
-3.216159,500,67.100712
221.529788,104,67.16722
221.920114,103,67.231264
222.546729,105,67.298769
221.664078,102,67.3633
222.503071,105,67.431323
222.416052,104,68.147914
222.260475,104,68.214424
222.134031,103,68.279933
222.280778,103,68.346445
221.600749,102,68.411445
221.576314,103,68.476958
221.158446,103,68.540972
222.797331,105,68.606949
222.29137,103,68.672458
222.585528,104,68.738461
222.428061,104,69.452778
221.687173,104,69.520778
221.582697,102,69.586291
221.507473,103,69.6518
221.87044,105,69.7178
222.436129,104,69.784309
222.423854,104,69.849387
221.659936,102,69.915387
222.189217,103,69.977899
222.098907,104,70.043405
222.938104,105,70.763011
222.002055,103,70.829013
222.20443,103,70.894522
222.336559,104,70.961035
222.648101,105,71.028039
222.127335,103,71.093609
223.149518,107,71.16112
222.019206,103,71.226118
222.064698,104,71.291633
221.997939,104,72.007741
222.152727,104,72.074252
222.361578,104,72.140255
222.644578,105,72.206762
222.83382,105,72.274816
222.543261,104,72.34082
223.112957,105,72.407494
222.912696,105,72.475051
222.389939,105,72.540667
223.064417,105,72.607172
222.588135,104,73.321924
222.527335,104,73.386433
222.328728,104,73.453039
222.009329,104,73.520039
221.830103,103,73.585783
222.309166,104,73.651517
222.379709,104,73.717518
222.034388,103,73.782028
222.07332,103,73.847422
222.81978,105,73.914332
222.438126,104,74.629706
222.602564,106,74.696807
222.565554,104,74.762406
221.919167,103,74.828405
221.92961,104,74.894915
222.431092,105,74.961424
222.495492,105,75.028424
222.385541,104,75.092932
222.45766,105,75.158441
222.104724,103,75.224441
222.457627,104,75.933363
223.531024,107,76.00087
